Comment,
Date and time of analysis,2020:05:07 07:38:59
Date and time of capture,2020:05:07 07:20:10
Method,Colorimetric
Light,Trans White
Filter,Through
Exposure time,Automatic

Lane,Band,Volume,Lane %,Normalized value,Mw,Rf
1,1,1.57,26.97,-,-,0.2659
1,2,0.81,13.86,-,-,0.4722
1,3,0.57,9.83,-,-,0.623
1,4,1.29,22.13,-,-,0.7897
1,5,1.59,27.21,-,-,0.9087
2,1,2.3,100,-,-,0.623
3,1,1.06,100,-,-,0.616
4,1,2.81,100,-,-,0.6265
5,1,1.1,100,-,-,0.6225
6,1,2.08,100,-,-,0.6154
7,1,0.84,100,-,-,0.6397
8,1,3.89,100,-,-,0.6408
9,1,3.15,100,-,-,0.6025
10,1,3.06,100,-,-,0.6148
11,1,2.24,100,-,-,0.5909
12,1,3.47,100,-,-,0.6074
13,1,1.29,100,-,-,0.575
14,1,3.08,100,-,-,0.5481
15,1,1.24,100,-,-,0.5607
16,1,2.45,100,-,-,0.557
17,1,1.94,100,-,-,0.557
18,1,3.16,100,-,-,0.5404
19,1,1.38,100,-,-,0.5342
20,1,3.33,100,-,-,0.5556
21,1,2.36,100,-,-,0.556
22,1,3.51,100,-,-,0.5603
23,1,2.97,100,-,-,0.5739
24,1,3.63,100,-,-,0.5808
25,1,2.33,100,-,-,0.5808
